RECORD_ID,PUBLISHED_DATE,DATE_LAST_MODIFIED,AGENCY_ACRONYM,AGENCY_NAME,DATA_OWNER,DATASET_NAME,DATASET_SUMMARY,DATASET_CLASSIFICATION_NAME,DATASET_CLASSIFICATION_REASON,DATASET_TYPE,DATASET_CATEGORY,KEYWORDS,EARLIEST_DATE_OF_RECORDS,UPDATE_INTERVAL,INTEREST,DATASET_URL,OBJECTID,OPENDATA_PORTAL
4922,2018-03-11,2018-01-03 00:00:00,DOEE,Department of Energy & Environment,Stormwater Management Division,Bag Law Inspections,Tracks all inspections of businesses that are done to assess their compliance with DC's Bag Law.,For District Government Use,Data falls under one or more DC Official Code ? 2-534 FOIA exemptions including investigatory records for the purposes of enforcement.,Database,Environment,"environment, inspection, bag, law, enforcement,",2010-12-06,Real-Time/Near Real-Time,Unknown,https://doee.dc.gov/bags,2057,No
4923,2018-03-11,2018-01-03 00:00:00,DOEE,Department of Energy & Environment,Lead-Safe and Healthy Homes Division,Lead Cases & Child and Family Services Agency,"Tracks all cases involving enforcement of the Childhood Lead Poisoning Prevention, the Healthy Homes Program, and the District's lead laws.",Confidential,Data falls under one or more DC Official Code ? 2-534 FOIA exemptions including investigatory records for the purposes of enforcement and contains personally identifiable information.,Database,Environment,"environment, lead, investigation, child, health",2009-10-06,Real-Time/Near Real-Time,Unknown,,2058,No
4924,2018-03-11,2018-01-03 00:00:00,DOEE,Department of Energy & Environment,Lead-Safe and Healthy Homes Division,Mold Remediation Jobs,Tracks all mold remediation jobs done by professionals who submit their data.,Public Not Proactively Released,"Data requires subjective redaction. Professional mold re-mediators may add, view and modify their own records after authentication.",Database,Environment,"environment, mold, remediator, remediation, job",2017-01-10,Real-Time/Near Real-Time,Unknown,,2059,No
4925,2018-03-11,2018-01-03 00:00:00,DOEE,Department of Energy & Environment,Stormwater Management Division,Bag Law Tips,"Tracks all public tips about businesses that have been observed to be in violation of DC's Bag Law, which requires retailers to charge fees to customers for disposable bags provided at time of purchase.",For District Government Use,Data falls under one or more DC Official Code ? 2-534 FOIA exemptions including investigatory records for the purposes of enforcement.,Database,Environment,"environment, bag, law, stormwater, complaint, tip, enforcement",2010-01-20,Real-Time/Near Real-Time,Unknown,https://doee.dc.gov/baglawtip,2060,No
4926,2018-03-11,2018-01-03 00:00:00,DOEE,Department of Energy & Environment,Green Zone Environmental Program,Green Zone Beautification 2017,"Tracks all requests for beautification projects that were made in 2017 under Green Zone Environmental Program (GZEP) program by residents and entities seeking assistance on projects such as rain gardens, urban farming, and other environmental projects from GZEP participants.",Confidential,Data contains personally identifiable information (PII).,Database,Environment,"environment, beautification",2017-05-17,Real-Time/Near Real-Time,Unknown,,2061,No
4927,2018-03-11,2018-01-03 00:00:00,DOEE,Department of Energy & Environment,Stormwater Management Division,Bag Distributions,Tracks all reusable bags that have been distributed by DOEE.,Open,,Database,Environment,"environment, reusable, bag, distribution",2015-10-13,Daily,Unknown,,2062,No
4928,2018-03-11,2018-01-03 00:00:00,DOEE,Department of Energy & Environment,Office of Community Relations,RiverSmart Innovation Grant Email List Sign-Ups,Tracks all sign-ups for the RiverSmart Innovation Grant Email List.,Confidential,Data contains Personally Identifiable Information (PII). Individual applications can see their data after authentication.,Database,Environment,"environment, RiverSmart, innovation, grant",2016-09-18,Real-Time/Near Real-Time,Unknown,,2063,No
4929,2018-03-11,2018-01-03 00:00:00,DOEE,Department of Energy & Environment,Office of General Counsel,General Counsel Assignment Tracking,Tracks all work requests made by agency staff for legal support from the DOEE Office of General Counsel.,For District Government Use,Data falls under one or more DC Official Code ? 2-534 FOIA exemptions including investigatory records for the purposes of enforcement and information that may be privileged or protected from disclosure in anticipation of litigation.,Database,Government Operations,"government operations, legal, review, approval",2009-05-08,Real-Time/Near Real-Time,Unknown,,2064,No
4930,2018-03-11,2018-01-03 00:00:00,DOEE,Department of Energy & Environment,Stormwater Management Division,Off-Site Retention Volume Compliance,Tracks annual Off-Site Retention Volume compliance for stormwater retention.,For District Government Use,Data falls under one or more DC Official Code ? 2-534 FOIA exemptions including investigatory records for the purposes of enforcement.,Database,Environment,"environment, stormwater, retention, volume, compliance",2014-10-09,Real-Time/Near Real-Time,Unknown,,2065,No
4931,2018-03-11,2018-01-03 00:00:00,DOEE,Department of Energy & Environment,Stormwater Management Division,Retire Stormwater Retention Credits,"Tracks application to Retire Stormwater Retention Credits (SRCs).  Upon expiration of SRCs or upon return to DOEE for price-locked value of SRCs, certified SRCs are retired and tracked.",Public Not Proactively Released,Data requires subjective redaction. Individual applications can see their data after authentication.,Database,Environment,"environment, stormwater, retention, credit, retire",2015-08-06,Real-Time/Near Real-Time,Unknown,,2066,No
4932,2018-03-11,2018-01-03 00:00:00,DOEE,Department of Energy & Environment,Stormwater Management Division,Certify Stormwater Retention Credits,Tracks applications for Certification of Stormwater Retention Credits (SRCs). SRCs can be generated and sold on the open market to earn revenue for projects that reduce harmful stormwater runoff by installing green infrastructure or removing impervious surfaces. SRCs must be certified by DOEE to be eligible for use and/or sale.,Public Not Proactively Released,Data requires subjective redaction. Individual applications can see their data after authentication.,Database,Environment,"environment, stormwater, retention, credit, certify",2014-03-07,Real-Time/Near Real-Time,Unknown,,2067,No
4933,2018-03-11,2018-01-03 00:00:00,DOEE,Department of Energy & Environment,Stormwater Management Division,RiverSmart Rewards Application,"Tracks applications by District residents, businesses, and property owners for discounts off the DOEE Stormwater Fee rewarded for reductions of stormwater runoff.",For District Government Use,Data falls under one or more DC Official Code ? 2-534 FOIA exemptions including personally identifiable information from submissions and deliberative process. Individual applicants can see their data after authentication.,Database,Environment,"environment, stormwater, RiverSmart, reward",2006-05-17,Real-Time/Near Real-Time,Unknown,,2068,No
4934,2018-03-11,2018-01-03 00:00:00,DOEE,Department of Energy & Environment,Stormwater Management Division,Transfer Stormwater Retention Credits,Tracks applications for Transfer of Stormwater Retention Credit (SRC) Ownership. SRCs are sold on the market and applications for transfers of ownership upon sales are tracked. ,Public Not Proactively Released,Data requires subjective redaction. Individual applications can see their data after authentication.,Database,Environment,"environment, stormwater, retention, credit, transfer",2014-09-18,Real-Time/Near Real-Time,Unknown,,2069,No
4935,2018-03-11,2018-01-03 00:00:00,DOEE,Department of Energy & Environment,Stormwater Management Division,Use Stormwater Retention Credits,"Tracks applications to Use Stormwater Retention Credits (SRCs) for Off-Site Retention Volume. SRCs can be used by property owners and developers to meet regulations requiring retention of stormwater, which can be met through off-site retention.",Public Not Proactively Released,Data requires subjective redaction. Individual applications can see their data after authentication.,Database,Environment,"environment, stormwater, retention, credit, application",2014-10-09,Real-Time/Near Real-Time,Unknown,,2070,No
4936,2018-03-11,2018-01-03 00:00:00,DOEE,Department of Energy & Environment,Support Services Division,Travel and Training Requests,Tracks approval of employee travel and training requests.,For District Government Use,Data falls under one or more DC Official Code ? 2-534 FOIA exemptions including deliberative processes prior to final decisions and requires subjective redaction of personally identifiable information.,Database,Government Operations,"government operations, environment, travel, training, employee",2016-07-11,Real-Time/Near Real-Time,Unknown,,2071,No
4937,2018-03-11,2018-01-03 00:00:00,DOEE,Department of Energy & Environment,Lead-Safe and Healthy Homes Division,Audit of Training Providers,Tracks audits of lead abatement and renovation training providers conducted by DOEE.,For District Government Use,Data falls under one or more DC Official Code ? 2-534 FOIA exemptions including investigatory records for the purposes of enforcement.,Database,Environment,"environment, lead, training, provider, audit",2014-06-23,Real-Time/Near Real-Time,Unknown,,2072,No
4938,2018-03-11,2018-01-03 00:00:00,DOEE,Department of Energy & Environment,Air Quality Division,Air Quality Complaints,Tracks complaints submitted by the public concerning air quality.,Confidential,Data contains investigatory records for enforcement purposes and Personally Identifiable Information (PII) from submissions.,Database,Environment,"environment, air, quality, complaint",2009-02-18,Real-Time/Near Real-Time,Unknown,,2073,No
4939,2018-03-11,2018-01-03 00:00:00,DOEE,Department of Energy & Environment,Air Quality Division,Air Quality Inspections,Tracks inspections of facilities or ongoing incidents to determine compliance with DC air quality laws.,For District Government Use,Data falls under one or more DC Official Code ? 2-534 FOIA exemptions including investigatory records for the purposes of enforcement.,Database,Environment,"environment, air, quality, inspection",2012-07-02,Real-Time/Near Real-Time,Unknown,,2074,No
4940,2018-03-11,2018-01-03 00:00:00,DOEE,Department of Energy & Environment,Stormwater Management Division,In-Lieu Fee Notification,Tracks notifications of In-Lieu Fee Payment to Meet Off-Site Retention Volume. In-lieu payments may be made to meet stormwater off-site retention volume requirements for properties. ,Public Not Proactively Released,Data requires subjective redaction. Individual applications can see their data after authentication.,Database,Environment,"environment, stormwater, retention, fee",2015-02-13,Real-Time/Near Real-Time,Unknown,,2075,No
4941,2018-03-11,2018-01-03 00:00:00,DOEE,Department of Energy & Environment,Grants Management Division,Grant Funded Projects,Tracks projects funded by the Requests For Applications (RFAs). Each approved RFA can fund one or more projects.,For District Government Use,Data falls under one or more DC Official Code ? 2-534 FOIA exemptions including deliberative processes prior to final decisions and may require subjective redaction.,Database,Government Operations,"government operations, environment, grant, project",2013-04-15,Real-Time/Near Real-Time,Unknown,,2076,No
4943,2018-03-11,2018-01-03 00:00:00,DOEE,Department of Energy & Environment,Energy Efficiency and Affordability Division,Energy Program Application,"Tracks residents who applied for weatherization assistance, and tracks auditors' audits and inspections.",Confidential,Data falls under one or more DC Official Code ? 2-534 FOIA exemptions including investigatory records for the purposes of enforcement and personally identifiable information (PII).,Database,Environment,"environment, energy, weatherization, audit, inspection",2015-03-24,Real-Time/Near Real-Time,Unknown,,2077,No
4944,2018-03-11,2018-01-03 00:00:00,DOEE,Department of Energy & Environment,Lead-Safe and Healthy Homes Division,DC Public Schools Water Testing,Tracks testing for lead in water conducted in DC Public Schools.,Public Not Proactively Released,Data may require subjective redaction.,Database,Environment,"environment, lead, water, school, dcps",2016-05-14,Real-Time/Near Real-Time,Unknown,,2078,No
4945,2018-03-11,2018-01-03 00:00:00,DOEE,Department of Energy & Environment,Regulatory Review Division,Rulemaking Status,Tracks the status of the different rules that DOEE makes in order to comply with mayor's orders.,For District Government Use,Data falls under one or more DC Official Code ? 2-534 FOIA exemptions including deliberative processes prior to final decisions.,Database,Environment,"environment, regulation, rule, status",2012-03-16,Real-Time/Near Real-Time,Unknown,,2079,No
4946,2018-03-11,2018-01-03 00:00:00,DOEE,Department of Energy & Environment,Stormwater Management Division,Coal Tar Ban Tips,"Tracks tips concerning possible Coal Tar Ban violations, that are submitted by the public.",For District Government Use,Data falls under one or more DC Official Code ? 2-534 FOIA exemptions including investigatory records for the purposes of enforcement.,Database,Environment,"environment, coal, tar, tip, inspection, violation",2012-09-27,Real-Time/Near Real-Time,Unknown,https://doee.dc.gov/coaltartip,2080,No
4947,2018-03-11,2018-01-03 00:00:00,DOEE,Department of Energy & Environment,Stormwater Management Division,Stormwater Retention Credit Transfer Records,Tracks transfer of Stormwater Retention Credit (SRC) ownership. SRCs are traded and sold on the market and transfers of ownership upon sales are tracked. ,Public Not Proactively Released,Data requires subjective redaction.,Database,Environment,"environment, stormwater, retention, credit, transfer",2015-10-02,Real-Time/Near Real-Time,Unknown,,2081,No
4948,2018-03-11,2018-01-03 00:00:00,DOEE,Department of Energy & Environment,Energy Affordability and Efficiency Division,Subgrantee FY 2016-17 Projects,"Tracks weatherization work performed by subcontractors of DOEE grantees under the Weatherization Assistance Program, which provides technical and financial assistance to low-income residents to reduce energy bills.",Public Not Proactively Released,Data requires subjective redaction. Individual contractors can see their data after authentication.,Database,Environment,"environment, weatherization, project, 2016, 2017",2015-02-02,Real-Time/Near Real-Time,Unknown,,2082,No
4949,2018-03-11,2017-12-28 00:00:00,DOES,Department of Employment Services,DOES: Office of Apprenticeship,Apprenticeship,"Apprenticeships combine on-the-job training with classroom instruction, teaching workers the practical and theoretical aspects of highly skilled occupations. Apprenticeship programs are sponsored by employers, labor groups and employer associations. This system tracks participants through the Apprenticeship program.",Confidential,This dataset contains Personally Identifiable Information (PII).,Database,Public Services,Apprenticeship,,Weekly,NULL,,2083,No
4950,2018-03-11,2017-12-21 00:00:00,DOES,Department of Employment Services,DOES: Unemployment Compensation,UI Tax,Manages and tracks UI payroll taxes (federal/state UI tax).,Confidential,This dataset contains Personally Identifiable Information (PII) and Unemployment Insurance (UI) Payment information. UI data is protected from disclosure pursuant to D.C. Official Code ? 2-534 (a)(6)(A) and Code ? 51-113 (f).,Other,Government Operations,ui tax,,Real-Time/Near Real-Time,Occasional Requests,,2084,No
4951,2018-03-11,2017-12-21 00:00:00,DOES,Department of Employment Services,DOES: Unemployment Insurance,Benefits,"Manages and tracks unemployment benefits to eligible workers who become unemployed through no fault of their own, and meet certain other eligibility requirements",Confidential,This dataset contains Personally Identifiable Information (PII).,Other,Government Operations,"UI, benefits",,Real-Time/Near Real-Time,Frequent Requests,,2085,No
4952,2018-03-11,2017-12-21 00:00:00,DOES,Department of Employment Services,DOES: Unemployment Compensation,Recover,"Recover helps Unemployment Insurance Agencies maximize collections dollars, maintain compliance and achieve higher recovery rates",Confidential,This dataset contains Unemployment Insurance (UI) data that is protected from disclosure pursuant to D.C. Official Code ? 2-534 (a)(6)(A) and Code ? 51-113 (f).,Database,Government Operations,recover,,Real-Time/Near Real-Time,Occasional Requests,,2086,No
4953,2018-03-11,2017-12-21 00:00:00,DOES,Department of Employment Services,DOES: Office of Hearings and Adjudication and Compensation Review Board,AHD and CRB Cases,"The Administrative Hearings Division (AHD) conducts formal administrative hearings under two workers? compensation benefit programs:
DC Workers' Compensation Act of 1979,  and Subchapter XXIII of the DC Government Comprehensive Merit Personnel Act of 1978, as amended, DC Code ?1-623.1 et seq. (public sector). 
The Compensation Review Board (CRB) provides administrative appellate review of Compensation Orders and other final Orders from the Administrative Hearings Division (AHD) and the Office of Workers? Compensation (OWC).
This system tracks and reports Adjudication Hearing Division and Compensation Review Board cases.",Confidential,This data may contain Health Insurance Portability and Accountability Act (HIPAA) / Protected Health Information (PHI)  and Personally Identifiable Information (PII).,Database,Government Operations,"AHD, CRB, OWC",,Real-Time/Near Real-Time,Occasional Requests,,2087,No
4954,2018-03-11,2017-12-21 00:00:00,DOES,Department of Employment Services,DOES: Benefit Accuracy Measurement (BAM),Benefits Accuracy Measurement,"The Benefit Accuracy Measurement (BAM) program is designed to determine the accuracy of paid and denied claims in three major Unemployment Insurance (UI) programs: State UI, Unemployment Compensation for Federal Employees (UCFE), and Unemployment Compensation for Ex-Servicemembers (UCX). This system tracks BAM sample cases for DC and generates letters and reports as required.",Confidential,This dataset contains Personally Identifiable Information (PII) and Unemployment Insurance (UI) data that is protected from disclosure pursuant to D.C. Official Code ? 2-534 (a)(6)(A) and Code ? 51-113 (f).,Database,Government Operations,"BAM, Benefits Accuracy Measure",,Daily,NULL,,2088,No
4955,2018-03-11,2017-12-21 00:00:00,DOES,Department of Employment Services,DOES: Office of Youth Programs,MBSYEP,The Mayor Marion S. Barry Summer Youth Employment Program (MBSYEP) is a locally funded initiative sponsored by the Department of Employment Services (DOES) that provides District youth ages 14 to 24 with enriching and constructive summer work experiences through subsidized placements in the private and government sectors. This dataset is used to keep a track of participants in the MBSYEP program.,Confidential,This dataset contains Personally Identifiable Information (PII) and other data related the participants and their family.,Database,Government Operations,Summer Youth Employment Program,,Weekly,Frequent Requests,,2089,No
4956,2018-03-11,2017-12-21 00:00:00,DOES,Department of Employment Services,DOES: Office of Information Technology,IBM Jazz,"The Office of Information Technology is responsible for automated processes; long and short range automation planning, recommending policies and procedures for electronic data management, ensuring that necessary resources are available and utilized for automation. This system is a repository for DOES business requirements and test cases",Confidential,This data contains system and functional  requirements for DOES projects. Some data may contain Critical Infrastructure Information,Database,Government Operations,jazz,,Real-Time/Near Real-Time,No Requests,,2090,No
4957,2018-03-11,2017-12-21 00:00:00,DOES,Department of Employment Services,DOES: Office of Wage and Hour,Wage and Hour,"The Office of Wage Hour conducts compliance audits.
The office may recover back wages for employees who have not been paid pursuant to these laws, either administratively or through court action.",Confidential,This dataset contains Personally Identifiable Information (PII).,Database,Government Operations,Wage,,Real-Time/Near Real-Time,Occasional Requests,,2091,No
4958,2018-03-11,2017-12-21 00:00:00,DOES,Department of Employment Services,DOES: Office of General Counsel,DOES - Office of General Counsel,The Office of the General Counsel advises and assists the Director in establishing and administering comprehensive legal services related to all programs administered by the Department. This application tracks cases and payment details for OGC,Confidential,This data may contain information that is protected by Attorney-Client Privilege and Deliberative  Process Privilege. ,Database,Government Operations,Counsel,2014-04-30,Real-Time/Near Real-Time,Occasional Requests,,2092,No
4959,2018-03-11,2017-12-21 00:00:00,DOES,Department of Employment Services,DOES: Office of Worker Compensation,CORE,"The Workers' Compensation Program processes claims and monitors the payment of benefits to injured private-sector employees in the District of Columbia.  Disputes between claimants and employers (or their insurance carriers) are mediated and employers are monitored to ensure compliance with insurance coverage requirements. The program administers the special/second injury fund, which provides benefits in cases of uninsured employers or in instances where an injury combines with a pre-existing disability to cause a substantially greater disability.  All OWC cases are managed via this system.",Confidential,This data may contain Health Insurance Portability and Accountability Act (HIPAA) / Protected Health Information (PHI)  and Personally Identifiable Information (PII).,Database,Government Operations,owc,2003-10-19,Real-Time/Near Real-Time,Occasional Requests,,2093,No
4960,2018-03-11,2017-12-21 00:00:00,DOES,Department of Employment Services,DOES: First Source,First Source Online Registration and Reporting System (FORRS),The system tracks  number of D.C. residents hired on projects funded by D.C. taxpayer dollars,Confidential,This dataset contains Personally Identifiable Information (PII).,Database,Government Operations,first source,,Real-Time/Near Real-Time,Occasional Requests,,2094,No
4961,2018-03-11,2017-12-28 00:00:00,DOES,Department of Employment Services,DOES: Office of Information Technology,Department of Employment Services HelpDesk,This Dataset is used to track DOES IT tickets relating to daily operations within the Agency.,Confidential,The dataset may contain matter that is Agency-specific. Some data may contain Critical Infrastructure Information,Other,Public Services,public service,2016-10-31,Real-Time/Near Real-Time,Frequent Requests,,2095,No
4962,2018-03-11,2017-12-21 00:00:00,DOES,Department of Employment Services,DOES,DOES IT Equipment,This application manages IT Equipment inventory for DOES,Confidential,This data may contain Critical Infrastructure Information.,Database,Government Operations,"IT, Equipment",,Real-Time/Near Real-Time,No Requests,,2096,No
4963,2018-03-11,2017-12-21 00:00:00,DOES,Department of Employment Services,DOES,Budget and Performance Accountability Tool,This application tracks and analyses DOES agency spending.,Confidential,This data contains Agency spending data and critical program information that ties to Critical Infrastructure.,Database,Government Operations,government operations,,Weekly,Unknown,,2097,No
4991,2018-03-11,,DPR,Department of Parks and Recreation,Partnerships & Development Division,Partnerships List,"List of DPR park partners, programmatic partners, grants received, donations accepted, and sponsors. Data includes name of organization/individual, contact information, description, date of partnership (start and end), and dollar amount.",Open,,Other,Government Operations,"recreation, operations, sponsors",2012-01-02,Monthly,Occasional Requests,,2098,No
4992,2018-03-11,,DPR,Department of Parks and Recreation,CERVIS,Volunteers List,"List of DPR volunteers, the information they provided in their application, and their background status. ",Public Not Proactively Released,"Data requires subjective redaction because it includes personal information of DPR volunteers.
",Other,Government Operations,"recreation, volunteers, operations",2012-01-02,Weekly,Occasional Requests,,2099,No
4993,2018-03-11,,DPR,Department of Parks and Recreation,Vermont Systems Inc,Customer Demographics,"List of customers including the program enrolled, location of program, zip code, ethnicity, gender, date of birth, age, and language spoken at home.",For District Government Use,"Data requires subjective redaction because it includes personal information of DPR customers.
",Other,Demographic,"demographics, customers",2017-05-01,Daily,Occasional Requests,,2100,No
4994,2018-03-11,,DPR,Department of Parks and Recreation,Quickbase,Incident Reports,"List of incidents that occur outside of a regular workday. Includes details on who, what ,when, where, why and how an incident occurred.",For District Government Use,"Data includes personal and deliberative information that has the potential to jeopardize the privacy of residents, agency workforce members, clients, partners, or anyone else identified in the information. May require subjective redaction because this dataset contains information that is exempt from public disclosure under  DC Official Code ? 2?534(a)(2) and (4).
",Other,Government Operations,"recreation, incidents, reports",2012-10-01,Daily,Occasional Requests,,2101,No
4995,2018-03-11,,DPR,Department of Parks and Recreation,Quickbase,DPR P-Card Expenditure Requests,"List of requests from staff to DPR p-card holders. Requests included budget codes, item(s) needed, vendor and vendor contact information, approved/denied purchases, funding loaded on p-cards, and available balances on p-card.",For District Government Use,"Exempt from FOIA due to deliberative process,  DC Official Code ? 2?534(a)(4).
",Other,Government Operations,"recreation, p-card, vendor",2017-10-01,Weekly,Unknown,,2102,No
4996,2018-03-11,,DPR,Department of Parks and Recreation,Quickbase,DPR Services Requests,"List of requests from staff to central office business units. Requests include communications, refunds, risk management, and support services.",For District Government Use,"This dataset contains information that is exempt from public disclosure under  DC Official Code ? 2?534(a)(4), deliberative process.
",Other,Government Operations,"recreation, operations, service requests",2011-10-01,Daily,Unknown,,2103,No
4997,2018-03-11,,DPR,Department of Parks and Recreation,Quickbase,DPR Transportation/Stagecraft Requests,"List of requests from staff for transportation and stagecraft needs. 
",For District Government Use,"Data requires subjective redaction because it includes personal information of DPR customers.
",Other,Government Operations,"recreation, transportation",2011-10-01,Daily,Unknown,,2104,No
4998,2018-03-11,,DPR,Department of Parks and Recreation,Survey Monkey,DPR Survey Results,"Customer feedback on customer service, program, and special events at DPR recreation centers and pools.
",Open,,Other,Government Operations,"recreation, customer, aquatics",2017-05-01,Daily,Frequent Requests,,2105,No
4999,2018-03-11,,DPR,Department of Parks and Recreation,Twitter,Twitter Data,List of tweets and the number of customer interactions for each tweet. Also includes follower demographics.,Open,,Other,Utility and Communication,"recreation, twitter",2011-04-01,Daily,Occasional Requests,,2106,No
5000,2018-03-11,,DPR,Department of Parks and Recreation,Office of the Director,Program Needs Results,Results from a statistically valid community survey on the recreational programmatic needs of the residents.,Open,,Database,Recreation,"recreation, programs, needs",2013-12-01,Static,Occasional Requests,,2107,No
5082,2018-03-11,,MPD,Metropolitan Police Department,MPD,Victim Services Bureau Database,Stores victim service records,Confidential,This dataset contains Personally Identifiable Information (PII)  about victims and is law enforcement sensitive information.,Database,Public Safety,public safety,,Weekly,Unknown,,2108,No
5083,2018-03-11,,MPD,Metropolitan Police Department,MPD,ShotSpotter,"The data is stored with the vendor we  have access through the vendor's portal. Documents all ShotSpotter alerts including number of shots fired, date, time and geographic coordinates of shots fired.",Confidential,"This dataset is not proactively released, but we have a generalizable dataset that we release to the public on our website that protects privacy. The information in this dataset is exempt from public disclosure under ? 2-534(a)(3) and is law enforcement sensitive.",Database,Public Safety,public safety,,Real-Time/Near Real-Time,Unknown,,2109,No
5085,2018-03-11,,MPD,Metropolitan Police Department,MPD,Court Alert Notification System (CANS),Tracks appearance and officer's time and attendance for court.,Confidential,This dataset contains law enforcement sensitive information regarding an officer's location at specific times. ,Other,Public Safety,public safety,,Daily,Unknown,,2110,No
5086,2018-03-11,,MPD,Metropolitan Police Department,MPD,Gun Offender Registration System,Tracks repeat offenders of gun-related offenses.,Confidential,Criminal Justice information and potentially sensitive information on citizens.,Database,Public Safety,public safety,,Weekly,Unknown,,2111,No
5088,2018-03-11,,MPD,Metropolitan Police Department,MPD,Washington Area Law Enforcement System (WALES),Washington Area Law Enforcement System - contains data for warrants and tracks the warrants also state repository for criminal history and interfaces with the FBI's National Crime Information Center (NCIC),Restricted Confidential,"This dataset contains Law Enforcement Sensitive information on warrant tracking and contains information regarding criminal history. If this data is inadvertently divulged, it can be harmful to those individuals whose information is present in the system. ",Database,Public Safety,public safety,,Real-Time/Near Real-Time,Unknown,,2112,No
5090,2018-03-11,2017-12-08 00:00:00,OAG,Office of Attorney General,Office of the Attorney General,Legislation and Rulemaking,"Archived dataset which was previously used by the Legal Counsel Division.  The dataset was used to track progress on draft legislation, rulemakings, Mayor's Orders and inter-agency MOAs/MOUs for legal sufficiency,  all Council-enrolled bills presented to the Mayor,  legal memoranda, letters, Office Orders, and other documents for the Attorney General's signature. This dataset has not been updated since 2008.",Restricted Confidential,FOIA Exemptions 2-534 (a)(3) - Contains records of ongoing Investigatory Records and Personal Information and 2-543-(a)(4) Contains privileged internal memorandum related to litigation. Release could significantly impair the ability of the agency to perform its statutory functions.,Database,Government Operations,government operations,,Static,Unknown,,2113,No
5091,2018-03-11,2017-12-08 00:00:00,OAG,Office of Attorney General,Office of the Attorney General,Administrative Litigation Matters,"Case information regarding  administrative litigation matters entered by the Civil Enforcement Section.  Matters covered in this dataset include: alcoholic beverage control, unemployment insurance compensation fraud, wage enforcement,  workers compensation recovery, zoning enforcement, administrative appeals of final agency actions, and forfeitures since 2014",Restricted Confidential,FOIA Exemptions 2-534 (a)(3) - Contains records of ongoing Investigatory Records and Personal Information and 2-543-(a)(4) Contains privileged internal memorandum related to litigation. Release could significantly impair the ability of the agency to perform its statutory functions.,Database,Government Operations,government operations,,Daily,Unknown,,2114,No
5092,2018-03-11,2017-12-08 00:00:00,OAG,Office of Attorney General,Office of the Attorney General,Juvenile Matters,"Cases dealing with prosecution of individuals under the age of 18 for criminal offenses handled by the Juvenile Section of the Public Safety Division. In addition to criminal statutes, these include offenses that can only be committed by juveniles such as truancy. Also contains cases related to the PINS (Persons in Need of Supervision) program.",Restricted Confidential,FOIA Exemptions 2-534 (a)(3) - Contains records of ongoing Investigatory Records and Personal Information and 2-543-(a)(4) Contains privileged internal memorandum related to litigation. Release could significantly impair the ability of the agency to perform its statutory functions.,Database,Public Safety,public safety,,Real-Time/Near Real-Time,Unknown,https://oag.dc.gov/node/423512,2115,No
5093,2018-03-11,2017-12-08 00:00:00,OAG,Office of Attorney General,Office of the Attorney General,Finance Matters,"Cases handled by the Tax and Finance Section of the Commercial Division.  The Tax and Finance Section advises the District with respect to the issuance of bonds and notes in order to finance various capital projects of the District government, nonprofit entities, and for-profit entities located in areas specifically targeted by the District for economic and commercial development.",Restricted Confidential,FOIA Exemptions 2-534 (a)(3) - Contains records of ongoing Investigatory Records and Personal Information and 2-543-(a)(4) Contains privileged internal memorandum related to litigation. Release could significantly impair the ability of the agency to perform its statutory functions.,Database,Government Operations,government operations,,Real-Time/Near Real-Time,Unknown,https://oag.dc.gov/page/commercial-division,2116,No
5094,2018-03-11,2017-12-08 00:00:00,OAG,Office of Attorney General,Office of the Attorney General,Bankruptcy Matters,Contains case information handled by the Land Acquisition and Bankruptcy Section of the Commercial Division.  The Section provides representation to all District agencies in bankruptcy court in personal and commercial bankruptcies in which the District may have an interest.,Restricted Confidential,FOIA Exemption 2-534(a)(4) - Contains Privileged information pertaining to ongoing litigation.,Database,Government Operations,government operations,,Real-Time/Near Real-Time,Unknown,,2117,No
5095,2018-03-11,2017-12-08 00:00:00,OAG,Office of Attorney General,Office of the Attorney General,False Claims,"Contains information pertaining to closed and ongoing cases brought under the District's False Claims Act (DC Code 2-381-.01 to 2-238.09).  False claims generally include cases where a request or demand for money or property is filed against the District in which the person making the claim knowingly uses false or incomplete information.  Data includes client information, defendant information, assigned staff, case records and documentation, internal memoranda, related events, case outcome and disposition value when applicable.",Restricted Confidential,Individual cases are labeled as sealed and confidential. FOIA Exemptions 2-534 (a)(3) - Contains records of ongoing Investigatory Records and Personal Information and 2-543-(a)(4) Contains privileged internal memoranda related to litigation. Release could significantly impair the ability of the agency to perform its statutory functions.,Database,Government Operations,government operations,2003-01-01,Real-Time/Near Real-Time,Unknown,https://oag.dc.gov/page/false-claims-act,2118,No
5096,2018-03-11,2017-12-08 00:00:00,OAG,Office of Attorney General,Office of the Attorney General,Criminal Matters,"Contains information related to closed and ongoing criminal cases filed by the Attorney General's Office. These include traffic offenses, weapons offenses, quality of life offenses, regulation offenses, and certain types of fraud.",Restricted Confidential,FOIA Exemptions 2-534(a)(2) - Personal privacy related to an incident involving domestic violence or sexual assault and FOIA Exemption 2-534 (a)(3) - Contains records of ongoing Investigatory Records and Personal Information. Could endanger parties related to matter if personal information is released,Database,Public Safety,public safety,,Real-Time/Near Real-Time,Unknown,https://oag.dc.gov/node/423502,2119,No
