ACRONYM,AGENCYNAME,DATASETNAME,DATAOWNER,DATASETCATEGORYNAME,DATASETCLASSIFICATIONNAME,DATASETCLASSIFICATIONREASON,DATASETTYPENAME,EARLIESTDATEOFRECORDS,EDI_ID,PUBLICINTERESTNAME,KEYWORDS,UPDATEINTERVALNAME,OPENDATA_PORTAL
OLA,Office of Latino Affairs,Immigrant Justice Legal Services Grant Information,OLA,Government Operations,Level 0,,Spreadsheet,,3003,No Info,immigrants; justice; grant; award,Yearly,False
OLA,Office of Latino Affairs,Latino Community Development Grant Information,OLA,Government Operations,Level 0,,Spreadsheet,,3004,No Info,grant; award,Yearly,False
OPGS,Office of Partnerships & Grant Services,Donations Report Data,Office Partnerships & Grants Service,Government Operations,Level 0,,Database,,2311,Unknown,"donations, inkind, partnerships",Real-Time/Near Real-Time,False
OP,Office of Planning,DC HistoryQuest Building Data,OP,Historic,Level 0,,Other,,2310,Frequent Requests,"OP, Planning, Historic Preservation, History, Building Permits",Static,False
OP,Office of Planning,Baseball Stadium Area,OP,Cultural and Society,Level 0,,Database,,3011,Frequent Request,DC GIS ,Yearly,True
OP,Office of Planning,Census Blocks Centroid in 2010,OP,Demographic,Level 0,,Database,,3014,Frequent Request,"census tract number, dc gis, blocks, boundary, block group, census 2010",Yearly,True
OP,Office of Planning,Chinatown Design Review Boundary,OP,Planning Land Use and Zoning,Level 0,,Database,,3017,Frequent Request,"chinatown, DC GIS, District of Columbia, Landuse, neighborhood, Planning, Washington DC, Zoning",Yearly,True
OP,Office of Planning,Comprehensive Plan Policy in 2012,OP,Planning Land Use and Zoning,Level 0,,Database,,3024,Frequent Request,Comprehensive Plan Policy,Yearly,True
OP,Office of Planning,Neighborhood Name Label Points,OP,Administrative and Other Boundaries,Level 0,,Database,,3154,Frequent Requests,boundaries,Yearly,True
OP,Office of Planning,Strategic Neighborhood Investment Program Areas,OP,Business and Economic Development,Level 0,,Database,,3155,Frequent Requests,economy,Yearly,True
OP,Office of Planning,State of Washington DC,OP,Administrative and Other Boundaries,Level 0,,Database,,3156,Frequent Requests,boundaries,Static,True
OP,Office of Planning,Federal City Boundary (Proposed),OP,Administrative and Other Boundaries,Level 0,,Database,,3157,Frequent Requests,boundaries,Static,True
OP,Office of Planning,Transformation Schools,OP,Education,Level 0,,Database,,3158,Frequent Requests,society,Yearly,True
OP,Office of Planning,Single Member District - 2013,OP,Administrative and Other Boundaries,Level 0,,Database,,3159,Frequent Requests,boundaries,Yearly,True
OP,Office of Planning,Memorials,OP,Cultural and Society,Level 0,,Database,,3160,Frequent Requests,society,Yearly,True
OP,Office of Planning,Census Blocks 2010,OP,Demographic,Level 0,,Database,,3161,Frequent Requests,society,Static,True
OP,Office of Planning,Census Block Groups 2010,OP,Demographic,Level 0,,Database,,3162,Frequent Requests,society,Static,True
OP,Office of Planning,Historic Districts,OP,Historic,Level 0,,Database,,3163,Frequent Requests,society,Yearly,True
OP,Office of Planning,Neighborhood Clusters,OP,Administrative and Other Boundaries,Level 0,,Database,,3164,Frequent Requests,boundaries,Static,True
OP,Office of Planning,Buildings 3D - roof attributes,OP,Facility and Structure,Level 0,,Database,,3165,Frequent Requests,structure,Yearly,True
OP,Office of Planning,Historic Landmark Elements,OP,Historic,Level 0,,Database,,3166,Frequent Requests,society,Static,True
OP,Office of Planning,Advisory Neighborhood Commission 1990,OP,Administrative and Other Boundaries,Level 0,,Database,,3137,Frequent Requests,boundaries,Yearly,True
OP,Office of Planning,Advisory Neighborhood Commission 2013,OP,Administrative and Other Boundaries,Level 0,,Database,,3138,Frequent Requests,boundaries,Yearly,True
OP,Office of Planning,Advisory Neighborhood Commission 2002,OP,Administrative and Other Boundaries,Level 0,,Database,,3139,Frequent Requests,boundaries,Yearly,True
OP,Office of Planning,District Revitalization Areas,OP,Business and Economic Development,Level 0,,Database,,3140,Frequent Requests,economy,Yearly,True
OP,Office of Planning,Home Again Areas,OP,Business and Economic Development,Level 0,,Database,,3141,Frequent Requests,economy,Yearly,True
OP,Office of Planning,HUB Zones (Historically Underutilized Business Zones),OP,Business and Economic Development,Level 0,,Database,,3142,Frequent Requests,economy,Yearly,True
OP,Office of Planning,Census Block Groups 2000,OP,Demographic,Level 0,,Database,,3143,Frequent Requests,society,Static,True
OP,Office of Planning,Land Use - Existing,OP,Planning Land Use and Zoning,Level 0,,Database,,3144,Frequent Requests,planningCadastre,Static,True
OP,Office of Planning,Single Member District - 1990,OP,Administrative and Other Boundaries,Level 0,,Database,,3145,Frequent Requests,boundaries,Yearly,True
OP,Office of Planning,Single Member District - 2002,OP,Administrative and Other Boundaries,Level 0,,Database,,3146,Frequent Requests,boundaries,Yearly,True
OP,Office of Planning,Zoning Buffer,OP,Planning Land Use and Zoning,Level 0,,Database,,3147,Frequent Requests,planningCadastre,Yearly,True
OP,Office of Planning,Downtown Development Comprehensive Plan,OP,Planning Land Use and Zoning,Level 0,,Database,,3148,Frequent Requests,planningCadastre,Yearly,True
OP,Office of Planning,Economic Development Zones,OP,Business and Economic Development,Level 0,,Database,,3149,Frequent Requests,economy,Static,True
OP,Office of Planning,Future Land Use,OP,Planning Land Use and Zoning,Level 0,,Database,,3150,Frequent Requests,planningCadastre,Yearly,True
OP,Office of Planning,Historic Data on DC Buildings,OP,Facility and Structure,Level 0,,Database,,3151,Frequent Requests,structure,Static,True
OP,Office of Planning,Grocery Store Locations,OP,Business and Economic Development,Level 0,,Database,,3152,Frequent Requests,economy,Yearly,True
OP,Office of Planning,Comprehensive Plan Proposed Amendments - Public Edition,OP,Planning Land Use and Zoning,Level 0,,Other,,2561,Occasional Requests,"OP, Planning, Comprehensive Plan",Static,False
OP,Office of Planning,Development Activity,OP,Planning Land Use and Zoning,Level 0,,Database,,2562,Occasional Requests,"OP, Planning, Housing, Development",Yearly,False
OP,Office of Planning,Historic Landmark Sites,OP,Historic,Level 0,,Database,,2607,Frequent Requests,society,Static,True
OP,Office of Planning,Historic Landmarks,OP,Historic,Level 0,,Database,,2608,Frequent Requests,society,Yearly,True
OP,Office of Planning,Potential Districts,OP,Historic,Level 0,,Database,,2609,Frequent Requests,society,Static,True
OP,Office of Planning,Potential Landmarks,OP,Historic,Level 0,,Database,,2610,Frequent Requests,society,Static,True
OP,Office of Planning,Historic Landmarks Points,OP,Historic,Level 0,,Database,,2611,Frequent Requests,society,Yearly,True
OP,Office of Planning,Comprehensive Plan Planning Areas,OP,Planning Land Use and Zoning,Level 0,,Database,,2612,Frequent Requests,planningCadastre,Yearly,True
OP,Office of Planning,Land Use - Planned 2006,OP,Planning Land Use and Zoning,Level 0,,Database,,2613,Frequent Requests,planningCadastre,Static,True
OP,Office of Planning,Buildings 3D,OP,Facility and Structure,Level 0,,Database,,2614,Frequent Requests,structure,Static,True
OP,Office of Planning,Census Blocks 2000,OP,Demographic,Level 0,,Database,,2615,Frequent Requests,society,Static,True
OP,Office of Planning,New Community Selected 2006,OP,Planning Land Use and Zoning,Level 0,,Database,,3337,Frequent Requests,"economy, new communities program, boundary",Yearly,True
OP,Office of Planning,Small Area Plans,OP,Planning Land Use and Zoning,Level 0,,Database,,3353,Frequent Request,"planning, area",Yearly,True
OP,Office of Planning,Planned Land Use in 2006,OP,Planning Land Use and Zoning,Level 0,,Database,,3347,Frequent Request,"future, land use, comprehensive plan, landuse, land use, comprehensive plan, landuse environment ",Yearly,True
OP,Office of Planning,Farmers Market Locations,OP,Business and Economic Development,Level 0,,Database,,3322,Frequent Request,"economy, health, society",Yearly,True
OCFO,Office of the Chief Financial Officer,Real Property Tax,ORA-OTR,Property and Land,Level 0,,Other,00:00.0,2478,No Requests,"planningCadastre, real property tax, OTR",Weekly,False
OCFO,Office of the Chief Financial Officer,Tax Sales Information,OTR,Financial,Level 0,,Database,,2491,No Info,,Monthly,False
OCFO,Office of the Chief Financial Officer,Property Sale Points,OCFO,Property and Land,Level 0,,Database,,2680,Frequent Requests,planningCadastre,Yearly,True
OCFO,Office of the Chief Financial Officer,Integrated Tax System Public Extract Property Sales,OCFO,Property and Land,Level 0,,Database,,2681,Frequent Requests,planningCadastre,No Info,True
OCFO,Office of the Chief Financial Officer,Integrated Tax System Public Extract Vacant Property,OCFO,Property and Land,Level 0,,Database,,2682,Frequent Requests,planningCadastre,No Info,True
OCFO,Office of the Chief Financial Officer,Integrated Tax System Public Extract Facts,OCFO,Property and Land,Level 0,,Database,,2683,Frequent Requests,planningCadastre,No Info,True
OCFO,Office of the Chief Financial Officer,Assessment Neighborhoods,OCFO,Property and Land,Level 0,,Database,,2684,Frequent Requests,planningCadastre,Yearly,True
OCFO,Office of the Chief Financial Officer,Assessment Sub-Neighborhoods,OCFO,Property and Land,Level 0,,Database,,2685,Frequent Requests,planningCadastre,Yearly,True
OCFO,Office of the Chief Financial Officer,Appropriations,OCFO,Property and Land,Level 0,,Database,,2686,Frequent Requests,planningCadastre,Static,True
OCFO,Office of the Chief Financial Officer,Integrated Tax System Public Extract - Tax Rate Codes,OCFO,Property and Land,Level 0,,Database,,3167,Frequent Requests,planningCadastre,No Info,True
OCFO,Office of the Chief Financial Officer,Residential (CAMA),OCFO,Property and Land,Level 0,,Database,,3168,Frequent Requests,planningCadastre,Static,True
OCFO,Office of the Chief Financial Officer,Condominium (CAMA),OCFO,Property and Land,Level 0,,Database,,3169,Frequent Requests,planningCadastre,Yearly,True
OCFO,Office of the Chief Financial Officer,Commercial (CAMA),OCFO,Property and Land,Level 0,,Database,,3170,Frequent Requests,planningCadastre,Yearly,True
OCFO,Office of the Chief Financial Officer,District property,OCFO,Property and Land,Level 0,,Database,,3171,Frequent Requests,planningCadastre,Yearly,True
OCFO,Office of the Chief Financial Officer,Integrated Tax System Public Extract,OCFO,Property and Land,Level 0,,Database,,3172,Frequent Requests,planningCadastre,Weekly,True
OCFO,Office of the Chief Financial Officer,Integrated Tax System Data Dictionary,OCFO,Property and Land,Level 0,,Database,,3173,Frequent Requests,planningCadastre,No Info,True
OCFO,Office of the Chief Financial Officer,Ownerpoint - Use code descriptions,OCFO,Property and Land,Level 0,,Database,,3174,Frequent Requests,planningCadastre,Yearly,True
OCFO,Office of the Chief Financial Officer,DC Open Budget Data,OCFO,Public Services,Level 0,,Database,,3175,Frequent Requests,public Services,Static,True
OCFO,Office of the Chief Financial Officer,Owner Points,OCFO,Property and Land,Level 0,,Database,,3176,Frequent Requests,planningCadastre,Yearly,True
OCFO,Office of the Chief Financial Officer,OCFO Open Government portal,OBP-OFOS-ORA,Financial,Level 0,,Database,,2930,No Info,,Yearly,False
OCFO,Office of the Chief Financial Officer,Integrated Tax System Public Extract - Mixed Tax Types,OCFO,Property and Land,Level 0,,Database,,3318,Frequent Requests,planningCadastre,No Info,True
OCFO,Office of the Chief Financial Officer,Residential Wireline Adoption Rate by Ward,OCTO,Business and Economic Development,Level 0,,Database,,3349,Frequent Request,"politics, council, boundary, ward",Yearly,True
OCFO,Office of the Chief Financial Officer,Integrated Tax System Use Codes Lookup,OCFO,Property and Land,Level 0,,Database,,3329,Frequent Request,"Property, Open Data, Washington DC, DC GIS, District of Columbia, Land, Cadastral, usecode, june2015",Yearly,True
OCFO,Office of the Chief Financial Officer,Owner Lot Line Dimensions,OCFO,Property and Land,Level 0,,Database,,3340,Frequent Request,,Yearly,True
OCFO,Office of the Chief Financial Officer,Parcel Property Scan Download,OCFO,Property and Land,Level 0,,Database,,3341,Frequent Request,"property, scans, land, square suffix lot, ssl, dc, dc gis, washington dck, oct2016",Yearly,True
OCTO,Office of the Chief Technology Officer,MAR Addresses,OCTO - GIS,Location,Level 0,,Database,00:00.0,2520,Frequent Requests,"Address, Master Address Reposity, DC GIS, DCRA",Daily,False
OCTO,Office of the Chief Technology Officer,OCTO PASS Solicitations,OCTO-PASS,Government Operations,Level 0,Open,Database,,2524,Unknown,"PASS, Solicitations, procurement",Real-Time/Near Real-Time,False
OCTO,Office of the Chief Technology Officer,Purchase Order details,OCTO - PASS,Government Operations,Level 0,open,Database,,2525,No Info,"PASS, purchase orders, procurement",Daily,True
OCTO,Office of the Chief Technology Officer,MAR Blocks,OCTO - GIS,Location,Level 0,,Database,00:00.0,2529,No Info,location,Quarterly,False
OCTO,Office of the Chief Technology Officer,MAR Intersections,OCTO - GIS,Location,Level 0,,Database,00:00.0,2530,Occasional Requests,location,Quarterly,False
OCTO,Office of the Chief Technology Officer,MAR Address Alias's,OCTO GIS,Location,Level 0,,Database,00:00.0,2531,Occasional Requests,"location, place names, geographic names, building names",Yearly,False
OCTO,Office of the Chief Technology Officer,MAR/SSL Cross Ref Table,OCTO - GIS,Location,Level 0,,Database,00:00.0,2565,Occasional Requests,location,Weekly,False
OCTO,Office of the Chief Technology Officer,Aerial Photography/Orthophoto - 2013,OCTO - GIS,Aerial Photography and Scanned Maps,Level 0,,Mr Sid Image,00:00.0,2590,Occasional Requests,"aerial photography,orthophoto,2013,imagery",Static,True
OCTO,Office of the Chief Technology Officer,MAR Street Name Alias,OCTO - GIS,Location,Level 0,,Database,00:00.0,2594,No Requests,location,Yearly,False
OCTO,Office of the Chief Technology Officer,MAR Address Units,OCTO - GIS,Location,Level 0,,Database,00:00.0,2595,Occasional Requests,location,Quarterly,False
OCTO,Office of the Chief Technology Officer,Contract Awards,OCTO - PASS,Government Operations,Level 0,open,Database,,2602,Unknown,"PASS, contracts, procurement, awards",Real-Time/Near Real-Time,False
OCTO,Office of the Chief Technology Officer,Ward 1990,OCTO,Administrative and Other Boundaries,Level 0,,Database,,2689,Frequent Requests,boundaries,Yearly,True
OCTO,Office of the Chief Technology Officer,Orthophoto of DC - 1995,OCTO,Aerial Photography and Scanned Maps,Level 0,Open,Database,,2690,Frequent Requests,imageryBaseMapsEarthCover,Yearly,True
OCTO,Office of the Chief Technology Officer,Topography - 20 Foot Contours,OCTO,Elevation,Level 0,,Database,,2691,Frequent Requests,elevation,Static,True
OCTO,Office of the Chief Technology Officer,Ward 2002,OCTO,Administrative and Other Boundaries,Level 0,,Database,,2692,Frequent Requests,boundaries,Yearly,True
OCTO,Office of the Chief Technology Officer,Ward 2012,OCTO,Administrative and Other Boundaries,Level 0,,Database,,2693,Frequent Requests,boundaries,Yearly,True
OCTO,Office of the Chief Technology Officer,Address Residential Units,OCTO,Property and Land,Level 0,,Database,,2694,Frequent Requests,planningCadastre,Weekly,True
OCTO,Office of the Chief Technology Officer,Points of Interest - MAR Aliases,OCTO,Location,Level 0,,Database,,2695,Frequent Requests,location,Yearly,True
OCTO,Office of the Chief Technology Officer,Address Points,OCTO,Location,Level 0,,Database,,2696,Frequent Requests,location,Static,True
OCTO,Office of the Chief Technology Officer,Aerial Photography Download (Orthophoto) - 2013,OCTO,Aerial Photography and Scanned Maps,Level 0,,Database,,2697,Frequent Requests,imageryBaseMapsEarthCover,Static,True
OCTO,Office of the Chief Technology Officer,Orthophoto of DC - 1999,OCTO,Aerial Photography and Scanned Maps,Level 0,Open,Database,,2698,Frequent Requests,imageryBaseMapsEarthCover,Yearly,True
OCTO,Office of the Chief Technology Officer,Orthophoto of DC - 2015,OCTO,Aerial Photography and Scanned Maps,Level 0,Open,Database,,2699,Frequent Requests,imageryBaseMapsEarthCover,Yearly,True
OCTO,Office of the Chief Technology Officer,Orthophoto of DC - 2005,OCTO,Aerial Photography and Scanned Maps,Level 0,Open,Database,,2700,Frequent Requests,imageryBaseMapsEarthCover,Yearly,True
OCTO,Office of the Chief Technology Officer,Orthophoto of DC - 2010,OCTO,Aerial Photography and Scanned Maps,Level 0,Open,Database,,2701,Frequent Requests,imageryBaseMapsEarthCover,Static,True
OCTO,Office of the Chief Technology Officer,USS Redacted 1 Meter Areas 2015,OCTO,Aerial Photography and Scanned Maps,Level 0,,Database,,2702,Frequent Requests,imageryBaseMapsEarthCover,Static,True
OCTO,Office of the Chief Technology Officer,Airport Runway and Taxiway,OCTO,Transportation,Level 0,,Database,,2703,Frequent Requests,transportation,Yearly,True
OCTO,Office of the Chief Technology Officer,Supermarket Tax Credit Zone,OCTO,Administrative and Other Boundaries,Level 0,,Database,,2704,Frequent Requests,boundaries,Static,True
OCTO,Office of the Chief Technology Officer,Hopkins Survey,OCTO,Historic,Level 0,,Database,,2705,Frequent Requests,society,Yearly,True
OCTO,Office of the Chief Technology Officer,Baist Real Estate Atlas - 1959,OCTO,Property and Land,Level 0,,Database,,2706,Frequent Requests,planningCadastre,Static,True
OCTO,Office of the Chief Technology Officer,Bollards,OCTO,Facility and Structure,Level 0,,Database,,2707,Frequent Requests,structure,Static,True
OCTO,Office of the Chief Technology Officer,Boundary Stones Location,OCTO,Property and Land,Level 0,,Database,,2708,Frequent Requests,planningCadastre,Yearly,True
OCTO,Office of the Chief Technology Officer,Topography - Breaklines,OCTO,Elevation,Level 0,,Database,,2709,Frequent Requests,elevation,Static,True
OCTO,Office of the Chief Technology Officer,Broadband Adoption Rate - Ward,OCTO,Utility and Communication,Level 0,,Database,,2711,Frequent Requests,utilitiesCommunication,Yearly,True
OCTO,Office of the Chief Technology Officer,Building Footprints,OCTO,Facility and Structure,Level 0,,Database,,2712,Frequent Requests,structure,Static,True
OCTO,Office of the Chief Technology Officer,Other Bus Stops,OCTO,Transportation,Level 0,,Database,,2713,Frequent Requests,transportation,Yearly,True
OCTO,Office of the Chief Technology Officer,Other Bus Routes,OCTO,Transportation,Level 0,,Database,,2714,Frequent Requests,transportation,Yearly,True
OCTO,Office of the Chief Technology Officer,Camera Enforcement Locations,OCTO,Public Safety,Level 0,,Database,,2715,Frequent Requests,public Safety,Yearly,True
OCTO,Office of the Chief Technology Officer,Block Centroids,OCTO,Transportation,Level 0,,Database,,2716,Frequent Requests,transportation,Static,True
OCTO,Office of the Chief Technology Officer,Pipeline CBE Participants,OCTO,Government Operations,Level 0,,Database,,2717,Occasional Requests,"government operations, staffing, contractor, resource, CBE, contract, vendor",Daily,True
OCTO,Office of the Chief Technology Officer,Pipeline Awarded Engagements,OCTO,Government Operations,Level 0,Open,Database,00:00.0,2718,Occasional Requests,"government operations, contractor, contract, position, engagement, vendor, CBE",Daily,True
OCTO,Office of the Chief Technology Officer,Pipeline Contractor Open Engagements,OCTO,Government Operations,Level 0,Open,Database,00:00.0,2719,Occasional Requests,"government operations, contractor, contract, CBE, position, engagement, vendor",Daily,True
OCTO,Office of the Chief Technology Officer,Cultural Areas ,OCTO,Cultural and Society,Level 0,Open,Database,,2720,Frequent Requests,society,Yearly,True
OCTO,Office of the Chief Technology Officer,Curbs,OCTO,Transportation,Level 0,Open,Database,,2721,Frequent Requests,transportation,Static,True
OCTO,Office of the Chief Technology Officer,Certified Business Enterprise,OCTO,Business and Economic Development,Level 0,,Database,,2722,Frequent Requests,economy,Yearly,True
OCTO,Office of the Chief Technology Officer,Topography - Spot Elevations,OCTO,Elevation,Level 0,,Database,,2723,Frequent Requests,elevation,Yearly,True
OCTO,Office of the Chief Technology Officer,Digital Inclusion Sites,OCTO,Utility and Communication,Level 0,,Database,,2724,Frequent Requests,utilitiesCommunication,Static,True
OCTO,Office of the Chief Technology Officer,National Parks,OCTO,Recreation,Level 0,,Database,,2725,Frequent Requests,society,Static,True
OCTO,Office of the Chief Technology Officer,District Boundary as defined by boundary Stones,OCTO,Administrative and Other Boundaries,Level 0,,Database,,2726,Frequent Requests,boundaries,Yearly,True
OCTO,Office of the Chief Technology Officer,DC Quadrants,OCTO,Administrative and Other Boundaries,Level 0,Open,Database,,2727,Frequent Requests,boundaries,Static,True
OCTO,Office of the Chief Technology Officer,Electric SubStations,OCTO,Utility and Communication,Level 0,,Database,,2728,Frequent Requests,utilitiesCommunication,Static,True
OCTO,Office of the Chief Technology Officer,Historic Sewer Survey,OCTO,Historic,Level 0,,Database,,2729,Frequent Requests,society,Yearly,True
OCTO,Office of the Chief Technology Officer,Gas Stations,OCTO,Business and Economic Development,Level 0,,Database,,2730,Frequent Requests,economy,Yearly,True
OCTO,Office of the Chief Technology Officer,Geodetic Control Points,OCTO,Location,Level 0,,Database,,2731,Frequent Requests,location,Yearly,True
OCTO,Office of the Chief Technology Officer,Guardrails and Barriers,OCTO,Transportation,Level 0,,Database,,2732,Frequent Requests,transportation,Yearly,True
OCTO,Office of the Chief Technology Officer,Hotel Locations,OCTO,Business and Economic Development,Level 0,,Database,,2733,Frequent Requests,economy,Yearly,True
OCTO,Office of the Chief Technology Officer,Hydrography Lines,OCTO,Environment,Level 0,,Database,,2734,Frequent Requests,environment,Static,True
OCTO,Office of the Chief Technology Officer,Hydrography Centerline,OCTO,Environment,Level 0,,Database,,2735,Frequent Requests,environment,Static,True
OCTO,Office of the Chief Technology Officer,Johnson and Ward Survey,OCTO,Historic,Level 0,,Database,,2736,Frequent Requests,society,Static,True
OCTO,Office of the Chief Technology Officer,L'Enfant Plan,OCTO,Historic,Level 0,,Database,,2737,Frequent Requests,society,Yearly,True
OCTO,Office of the Chief Technology Officer,LiDAR - Bare Earth - 2004,OCTO,Aerial Photography and Scanned Maps,Level 0,,Database,,2738,Frequent Requests,imageryBaseMapsEarthCover,Static,True
OCTO,Office of the Chief Technology Officer,LiDAR - Bare Earth - 2008,OCTO,Aerial Photography and Scanned Maps,Level 0,,Database,,2739,Frequent Requests,imageryBaseMapsEarthCover,Static,True
OCTO,Office of the Chief Technology Officer,LiDAR - Bare Earth - 2009,OCTO,Aerial Photography and Scanned Maps,Level 0,,Database,,2740,Frequent Requests,imageryBaseMapsEarthCover,Static,True
OCTO,Office of the Chief Technology Officer,LiDAR - Bare Earth - 2014,OCTO,Aerial Photography and Scanned Maps,Level 0,,Database,,2741,Frequent Requests,imageryBaseMapsEarthCover,Static,True
OCTO,Office of the Chief Technology Officer,LiDAR - Bare Earth - 2015,OCTO,Aerial Photography and Scanned Maps,Level 0,,Database,,2742,Frequent Requests,imageryBaseMapsEarthCover,Static,True
OCTO,Office of the Chief Technology Officer,LiDAR - First Return - 2004,OCTO,Aerial Photography and Scanned Maps,Level 0,,Database,,2743,Frequent Requests,imageryBaseMapsEarthCover,Static,True
OCTO,Office of the Chief Technology Officer,LiDAR - Intensity - 2009,OCTO,Aerial Photography and Scanned Maps,Level 0,,Database,,2744,Frequent Requests,imageryBaseMapsEarthCover,Static,True
OCTO,Office of the Chief Technology Officer,LiDAR - Intensity - 2014,OCTO,Aerial Photography and Scanned Maps,Level 0,Open,Database,00:00.0,2745,Frequent Requests,imageryBaseMapsEarthCover,Static,True
OCTO,Office of the Chief Technology Officer,LiDAR - Intensity - 2015,OCTO,Aerial Photography and Scanned Maps,Level 0,,Database,,2746,Frequent Requests,imageryBaseMapsEarthCover,Static,True
OCTO,Office of the Chief Technology Officer,LiDAR - Last Return - 2008,OCTO,Aerial Photography and Scanned Maps,Level 0,,Database,,2747,Frequent Requests,imageryBaseMapsEarthCover,Static,True
OCTO,Office of the Chief Technology Officer,LiDAR - DC Point Cloud - 2015,OCTO,Aerial Photography and Scanned Maps,Level 0,,Database,,2748,Frequent Requests,imageryBaseMapsEarthCover,Static,True
OCTO,Office of the Chief Technology Officer,LiDAR - Reflective Surface - 2008,OCTO,Aerial Photography and Scanned Maps,Level 0,,Database,,2749,Frequent Requests,imageryBaseMapsEarthCover,Static,True
OCTO,Office of the Chief Technology Officer,LiDAR - Reflective Surface - 2009,OCTO,Aerial Photography and Scanned Maps,Level 0,,Database,,2750,Frequent Requests,imageryBaseMapsEarthCover,Static,True
OCTO,Office of the Chief Technology Officer,Latrobe Survey,OCTO,Historic,Level 0,,Database,,2751,Frequent Requests,society,Yearly,True
OCTO,Office of the Chief Technology Officer,Keily Survey,OCTO,Historic,Level 0,,Database,,2752,Frequent Requests,society,Static,True
OCTO,Office of the Chief Technology Officer,Military Bases,OCTO,Property and Land,Level 0,,Database,,2753,Frequent Requests,planningCadastre,Static,True
OCTO,Office of the Chief Technology Officer,Misc. Polygons (Planters),OCTO,Facility and Structure,Level 0,,Database,,2754,Frequent Requests,structure,Static,True
OCTO,Office of the Chief Technology Officer,Museums in DC,OCTO,Cultural and Society,Level 0,,Database,,2755,Frequent Requests,society,Yearly,True
OCTO,Office of the Chief Technology Officer,Obstructed Areas,OCTO,Administrative and Other Boundaries,Level 0,,Database,,2756,Frequent Requests,boundaries,Static,True
OCTO,Office of the Chief Technology Officer,Aerial Photography/Orthophoto - 2008,OCTO,Aerial Photography and Scanned Maps,Level 0,,Database,,2757,Frequent Requests,imageryBaseMapsEarthCover,Static,True
OCTO,Office of the Chief Technology Officer,Hospital Areas,OCTO,Health and Human Services,Level 0,,Database,,2758,Frequent Requests,health,Static,True
OCTO,Office of the Chief Technology Officer,Kroe Plan,OCTO,Historic,Level 0,,Database,,2759,Frequent Requests,society,Yearly,True
OCTO,Office of the Chief Technology Officer,Thackara Vallance Plan,OCTO,Historic,Level 0,,Database,,2760,Frequent Requests,society,Yearly,True
OCTO,Office of the Chief Technology Officer,Jattnig Plan,OCTO,Historic,Level 0,,Database,,2761,Frequent Requests,society,Yearly,True
OCTO,Office of the Chief Technology Officer,Baker Plan,OCTO,Historic,Level 0,,Database,,2762,Frequent Requests,society,Yearly,True
OCTO,Office of the Chief Technology Officer,Ellicott Plan,OCTO,Historic,Level 0,,Database,,2763,Frequent Requests,society,Static,True
OCTO,Office of the Chief Technology Officer,Agency Performance Data,OCTO,Facility and Structure,Level 0,,Database,,2764,Frequent Requests,structure,Static,True
OCTO,Office of the Chief Technology Officer,Railroads,OCTO,Transportation,Level 0,,Database,,2765,Frequent Requests,transportation,Static,True
OCTO,Office of the Chief Technology Officer,Parks and Recreation Areas,OCTO,Recreation,Level 0,,Database,,2766,Frequent Requests,society,Static,True
OCTO,Office of the Chief Technology Officer,Broadband Adoption Residential,OCTO,Utility and Communication,Level 0,,Database,,2767,Frequent Requests,utilitiesCommunication,Yearly,True
OCTO,Office of the Chief Technology Officer,Roads,OCTO,Transportation,Level 0,,Database,,2768,Frequent Requests,transportation,Static,True
OCTO,Office of the Chief Technology Officer,Scanned Maps by Sanborn - 1880,OCTO,Aerial Photography and Scanned Maps,Level 0,,Database,,2769,Frequent Requests,imageryBaseMapsEarthCover,Static,True
OCTO,Office of the Chief Technology Officer,Shopping Centers,OCTO,Business and Economic Development,Level 0,,Database,,2770,Frequent Requests,economy,Yearly,True
OCTO,Office of the Chief Technology Officer,Sidewalk Grates,OCTO,Facility and Structure,Level 0,Open,Database,,2771,Frequent Requests,structure,Static,True
OCTO,Office of the Chief Technology Officer,Boys and Girls Club,OCTO,Cultural and Society,Level 0,,Database,,3012,Frequent Requests,"Society, boys and girls club, recreation",Yearly,True
OCTO,Office of the Chief Technology Officer,Enterprise Data Inventory (EDI),OCTO,Government Operations,Level 0,,Database,00:00.0,2604,Unknown,"catalog, inventory, enterprise, open data, dataset",Daily,False
OCTO,Office of the Chief Technology Officer,District Mask,OCTO,Government Operations,Level 0,,Database,,3028,Frequent Request,"boundary, district of columbia",Yearly,True
OCTO,Office of the Chief Technology Officer,Sidewalks,OCTO,Transportation,Level 0,,Database,,3109,Frequent Requests,transportation,Static,True
OCTO,Office of the Chief Technology Officer,Stairs,OCTO,Facility and Structure,Level 0,,Database,,3110,Frequent Requests,structure,Yearly,True
OCTO,Office of the Chief Technology Officer,Intersection Points,OCTO,Transportation,Level 0,,Database,,3111,Frequent Requests,transportation,Yearly,True
OCTO,Office of the Chief Technology Officer,Structures Lines,OCTO,Facility and Structure,Level 0,Open,Database,,3112,Frequent Requests,structure,Yearly,True
OCTO,Office of the Chief Technology Officer,Metro Entrance Structures,OCTO,Transportation,Level 0,Open,Database,,3113,Frequent Requests,transportation,Yearly,True
OCTO,Office of the Chief Technology Officer,Swimming pools,OCTO,Recreation,Level 0,,Database,,3114,Frequent Requests,society,Yearly,True
